City_Name,SampleSite_ID,SamplePoint_ID,SampleLayer_ID,Borehole_Ksat_cmhr,BoreholeMeasurementDepth_cm,UpperDepth_cm,LowerDepth_cm,Kunsat_cmh,Park_Name,Latitude,Longitude,Land_Use,Sample_Layer,Surface_Subsurface,Layer_Designation,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,ParentMaterials,Color,Primary_Color,Hue,Value,Chroma,numeric_texture,Texture,Predicted_Sand,Predicted_silt,Predicted_clay,Percent_Sand,Percent_Silt,Percent_Clay,VC_Sand_Percent,C_Sand_Percent,M_Sand_Percent,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,pHpH_Res_entry,M3_P_ppm,M3_K_ppm,M3_Mg_ppm,M3_Ca_ppm,pH_Acidity_Index,M3_CEC,K_Saturation_Percent,Mg_Saturation_Percent,Ca_Saturation_Percent,Salts,Exchangeable_Na,Zinc_ppm,Copper_ppm,Sulfur_ppm,Percent_Carbon,Percent_Nitrogen
Cincinnati,CIS20,CIP40,CIS20CIP40L1,,,0,20,0.165517241,,39.11,-84.57,NATIVE,1,Surface,Surface,20,,^Au,A,Anthropogenic/Till/Residual,10YR 4/3,10YR 4/3,10YR,4,3,NA,sil,#REF!,#REF!,#REF!,0.49,97.38,2.13,,,,,,15,7.67,136,240,326,7086.5,0,18.33,3.4,14.8,81.8,,,25.67,5.54,20.15,4.33,0.31
Cincinnati,CIS12,CIP24,CIS12CIP24L3,0,96,50,120,,,39.13,-84.55,NATIVE,3,Subsurface,HR 1,70,50,2Btx,B,,10YR 5/6,10YR 5/6,10YR,5,6,NA,sic,#REF!,#REF!,#REF!,0.85,47.08,52.07,,,,,,5,7.99,4,109,568,5318.6,0,20.01,1.4,23.7,75,,,1.29,1.72,20.87,0.29,0.06
Cincinnati,CIS24,CIP49,CIS24CIP49L1,,,0,20,1.324137931,,39.11,-84.57,FILL,1,Surface,Surface,20,,^C1u,C,Anthropogenic/Till/Residual,10YR 4/3,10YR 4/3,10YR,4,3,NA,sil,#REF!,#REF!,#REF!,1.15,97.08,1.77,,,,,,40,7.65,57,225,308,5785.5,0,18.14,3.2,14.1,82.7,,,26.65,4.7,56.47,4.69,0.32
Cleveland,CLS1,CLP2,CLS1CLP2L3,0.01,91,52,135,,,41.55,-81.57,NATIVE,3,Subsurface,HR 1,83,52,^Cgu,C,,N 8/0; 10YR 5/8,N 8/0,N,8,0,NA,sicl,#REF!,#REF!,#REF!,1.29,59.67,39.04,,,,,,10,5.3,2,61,592,2278.82,8.1,19.9,0.8,24.8,33.7,,,4.1,6,43.9,0.45,0.07
Cincinnati,CIS22,CIP44,CIS22CIP44L4,,,60,160,,,39.12,-84.56,NATIVE,4,Subsurface,HR 1,100,60,C1,C,,2.5Y 6/4,2.5Y 6/4,2.5Y,6,4,NA,sic,#REF!,#REF!,#REF!,1.45,50.44,48.11,,,,,,0,8.05,3,89,216,6406.2,0,17.03,1.3,10.6,88.1,,,1.13,1.32,42.71,0.39,0.05
Cincinnati,CIS33,CIP67,CIS33CIP67L2,0.294425394,63,,,,Rapid Run Park,39.12,-84.59,NATIVE,2,Subsurface,HR 1,,0,2,,,,,,,,NA,sicl,#REF!,#REF!,#REF!,1.45,61.85,36.7,,,,,,,5,21,128,256,1599.2,12.3,22.76,1.4,9.4,35.1,,,0.7,1.74,39.41,0.3,0.05
Cincinnati,CIS18,CIP36,CIS18CIP36L3,0.018595219,85,60,120,,,39.13,-84.55,NATIVE,3,Subsurface,HR 1,60,60,2C2,C,,2.5Y 5/4,2.5Y 5/4,2.5Y,5,4,NA,c,#REF!,#REF!,#REF!,1.48,46.6,51.92,,,,,,0,7.92,3,124,246,4663.9,0,17.37,1.8,11.8,86.4,,,0.98,1.84,57,0.58,0.07
Cleveland,CLS50,CLP101,CLS50CLP101L3,,,45,92,,,41.46,-81.63,FILL,3,Subsurface,HR 1,47,45,2C2,C,,10YR 6/1; 10YR 5/6,10YR 6/1,10YR,6,1,NA,sil,#REF!,#REF!,#REF!,1.49,60.2,38.31,,,,,,0,7.2,1,98,688,2325,0,17.6,1.4,32.6,66,,,4,2.4,108,0.37,0.08
Cincinnati,CIS8,CIP15,CIS8CIP15L3,,,45,195,,,39.13,-84.54,NATIVE,3,Subsurface,HR 1,150,45,BC,BC,,2.5Y 6/4; 2.5Y 5/6; 2.5Y 6/2,2.5Y 6/4,2.5Y,6,4,NA,sic,#REF!,#REF!,#REF!,1.53,57.46,41.01,,,,,,0,7.71,1,113,222,9547.1,0,17.14,1.7,10.8,87.5,,,1.03,1.53,2469.53,1.07,0.04
Cincinnati,CIS27,CIP54,CIS27CIP54L2,0.080966983,92,,,,Mayfield Park,34.12,-84.57,NATIVE,2,Subsurface,HR 1,,0,2,,,,,,,,NA,sic,#REF!,#REF!,#REF!,1.68,43.33,54.99,,,,,,,5.5,32,103,599,5013.2,9.9,30.16,0.9,16.6,49.7,,,1,1.11,54.42,0.25,0.05
