city,site,id,Park_Name,Land_Use,name,Parent,Passive,Private,Disturbed
Camden,CAS3,CAP3,St Anthony's,Rain Garden,^A1,Anthropogenic,Active,UNK,Disturbed
Camden,CAS5,CAP8,Aquarium,Landscape Lawn,^A1u,Anthropogenic,Passive,UNK,Disturbed
Camden,CAS5,CAP9,Aquarium,Bare Rain Garden,^Au,Anthropogenic,Active,UNK,Disturbed
Cincinnati,CIS1,CIP1,2063 Queen City Ave,NATIVE,A,Loess/Till/Fluvial/Residual,Passive,Private,Disturbed
Cincinnati,CIS17,CIP34,2176 Selim Ave,NATIVE,Ap,Till/Residual,Passive,Private,Undisturbed
Cincinnati,CIS25,CIP50,Mayfield Park,NATIVE,A,Till/Residual,Passive,Public,Disturbed
Cincinnati,CIS26,CIP52,Mayfield Park,NATIVE,A,Till/Residual,Passive,Public,Disturbed
Cincinnati,CIS28,CIP56,Glenway Park,NATIVE,A,Till/Residual,Passive,Public,Undisturbed
Cincinnati,CIS28,CIP57,Glenway Park,NATIVE,^A,Till/Residual,Passive,Public,Disturbed
Cincinnati,CIS8,CIP15,2465 Beekman St,NATIVE,A,Till/Residual,Passive,Private,Undisturbed
Cleveland,CLS13,CLP26,938 Wheelock - Fill,NATIVE,surface,,Passive,Private,Disturbed
Cleveland,CLS19,CLP37,8806 Marshall,FILL,surface,,Passive,Private,Undisturbed
Cleveland,CLS53,CLP111,Lakeview Cemetary,FILL,A,Glacial Till,Passive,Private,UNK
Cleveland,CLS62,CLP127,Abbey Park,NATIVE,A,Glacial Outwash over Lacustrine,Passive,Public,Undisturbed
Detroit,DS16,DP31,Stoepel Park No. 1 (Westwood St),PARK,A,Aeolian,Passive,Public,Undisturbed
Detroit,DS17,DP32,Stoepel Park No. 2 (W Chicago St),PARK,A,Aeolian,Passive,Public,Undisturbed
Detroit,DS21,DP40,8390 Lyford ,UNDISTURBED,A,Aeolian,Passive,Private,Undisturbed
Detroit,DS27,DP52,1259 McClellan,UNDISTURBED,A,Aeolian,Passive,Private,Disturbed
Omaha,OS11,OP24,Pine and 50th,,A,Aeolian,Passive,Private,Undisturbed
Omaha,OS14,OP30,Turner,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS15,OP32,Upland,,Ap,Aeolian,Passive,2,Undisturbed
Omaha,OS15,OP33,Upland,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS2,OP3,Bemis,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS2,OP5,Bemis,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS4,OP7,Fontonelle,,A1,Aeolian,Passive,Public,Undisturbed
Omaha,OS4,OP8,Fontonelle,,A1,Aeolian,Passive,Public,Undisturbed
Omaha,OS5,OP9,Gallagher,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS6,OP11,Hanscom,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS6,OP13,Hanscom,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS7,OP16,Hitchcock,,A1,Aeolian,Passive,Public,Undisturbed
Omaha,OS9,OP18,Paxton,,Ap,Aeolian,Passive,Public,Undisturbed
Omaha,OS9,OP19,Paxton,,Ap,Aeolian,Passive,Public,Undisturbed
Phoenix,PS10,PP13,White Tanks,Desert REF2,Bk,Fan Alluvium,Active,UNK,Undisturbed
San Juan,PRS12,PRP15,Jardin Botanico Norte 2,BOTANICAL GARDEN,A1,Alluvial,Passive,Private,Undisturbed
San Juan,PRS16,PRP19,El Senorial,PASSIVE AREA,A,Residual,Passive,Private,Disturbed
San Juan,PRS21,PRP25,Parque Luis Munoz Marin,FIELD,A,Residual,Passive,Public,Undisturbed
San Juan,PRS21,PRP26,Parque Luis Munoz Marin,FIELD,,, Passive,Public,UNK
Tacoma,TS10,TP10,McKinley Park,Park,Ap,Glacial Till,Passive,Public,Undisturbed
Tacoma,TS13,TP13,Proctor,Vacant Land,Ap,Aeolian,Passive,Public,Undisturbed
Tacoma,TS14,TP14,Puget Creek Natural Area,Park,Ap,Aeolian,Passive,Public,Undisturbed
Tacoma,TS15,TP15,Puget Creek Natural Area,Park,Ap,Aeolian,Passive,Public,Undisturbed
Tacoma,TS16,TP16,Swan Creek,Vacant Land,Ap,Glacial Fluvial,Passive,Public,Undisturbed
Tacoma,TS17,TP17,Vassault Park,Park,Ap,Glacial Till,Passive,Public,Undisturbed
Tacoma,TS2,TP2,Alling Park,Park,Ap,Glacial Till,Passive,Public,Undisturbed
Tacoma,TS4,TP4,Cloverdale Park,Park,Ap,Aeolian,Passive,Public,Undisturbed
Atlanta,ATS1,ATP1,Athens Research Farm,Agricultural Field,Ap,Residual,Passive,Public,Undisturbed
Camden,CAS22,CAP39,Saddlers Woods,Woods,A,Coastal Plain Sediments,Passive,Private,Undisturbed
Camden,CAS26,CAP43,Medford WMA,Woods,A,Coastal Plain Sediments,Passive,Public,Undisturbed
Phoenix,PS4,PP4,East Cactus Rd,"Native Xeriscape, Scottsdale 2",Bw,Fan Alluvium,Passive,Private,Undisturbed
Phoenix,PS9,PP12,Usery Park,Desert REF1,A,Fan Alluvium,Passive,Public,Undisturbed
Portland,PORS20,PORP66,Wayneflete,School Field,A1,Glacio-Fluvial,Passive,Private,Undisturbed
Portland,PORS4,PORP12,East End School,School Field,A1,Glacial Till,Passive,Public,Undisturbed
San Juan,PRS9,PRP10,Atenas Pineapple Farm Test Pit,FARM,Ap,Colluvial/Alluvial,Passive,Private,Undisturbed
San Juan,PRS9,PRP11,Atenas Pineapple- sandy,FARM,,,Passive,Private,Undisturbed
San Juan,PRS9,PRP9,Atenas Pineapple Farm 1,FARM,Ap,Colluvial/Alluvial,Passive,Private,Undisturbed
Atlanta,ATS10,ATP36,Lindsay Street Park,Vacant Lot,A,Residual,Passive,Public,Disturbed
Atlanta,ATS11,ATP40,423 Sunset center,Vacant Lot,^Cu,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS11,ATP41,423 Sunset,Vacant Lot,^A1,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS12,ATP42,82 Sunset,Vacant Lot,^A,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS2,ATP11,Atwood Rear,Mature Tree Yard,A,Residual,Passive,Private,Disturbed
Atlanta,ATS2,ATP6,Atwood Front,Residential Yard,^Cu,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS3,ATP12,370 Brawley,Vacant Lot,A,Residual,Passive,Private,Disturbed
Atlanta,ATS4,ATP16,386 Elm,Vacant Lot,^Au,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS5,ATP17,979 Frank - front,Vacant Lot,^Cu,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS5,ATP18,979 Frank,Vacant Lot,^A,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS6,ATP19,Griffin - Disturbed,Vacant Lot,^Au,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS7,ATP25,664 Magnolia,Vacant Lot,^Au,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS8,ATP30,744 North,Vacant Lot,^Cu,Anthropogenic,Passive,Private,Disturbed
Atlanta,ATS9,ATP33,750 North,Vacant Lot,^A,Anthropogenic,Passive,Private,Disturbed
Camden,CAS1,CAP1,Front Street,Garden,^Au,Anthropogenic,Active,Private,Disturbed
Camden,CAS10,CAP21,Neighborhood Center,Passive Lawn,^A1u,Anthropogenic,Passive,Private,Disturbed
Camden,CAS11,CAP22,Liney Ditch Camel,Park,^A1u,Anthropogenic,Passive,Public,Disturbed
Camden,CAS12,CAP28,Liney Ditch Garden,Park,^A1u,Anthropogenic,Passive,Public,Disturbed
Camden,CAS13,CAP29,Farnham Park,Park,A,Coastal Plain Sediments,Passive,Public,Disturbed
